Ticker,MarketCap,TrailingPE,ForwardPE,TrailingEPS,ForwardEPS,TotalRevenue,DividendYield,Beta,Sector,Industry,FullTimeEmployees,Sector_Encoded,Industry_Encoded
IDBI.BO,745786507264.0,10.336811,,6.71,,160589234176.0,2.16,0.94,Financial Services,Banks - Regional,17047.0,6,11
IDEA.BO,539731099648.0,,-0.4739812,-4.57,-15.95,430800011264.0,,0.614,Communication Services,Telecom Services,9670.0,2,90
IFBAGRO.BO,4514010112.0,23.927507,9.977225,20.14,48.3,10430400512.0,,0.661,Consumer Defensive,Beverages - Wineries & Distilleries,426.0,4,14
IFBIND.BO,43405762560.0,38.757236,22.865528,27.64,,48482099200.0,,1.017,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2356.0,3,45
IFCI.BO,107444690944.0,128.46875,,0.32,,16814199808.0,,0.61,Financial Services,Credit Services,136.0,6,28
IGARASHI.BO,16485030912.0,62.87515,13.293147,8.33,39.4,8535485952.0,0.19,0.75,Consumer Cyclical,Auto Parts,675.0,3,10
IGL.BO,265300000768.0,15.622423,13.487544,12.13,14.05,145552900096.0,2.77,0.651,Utilities,Utilities - Regulated Gas,719.0,12,100
IGPL.BO,13280257024.0,13.438766,6.714152,32.09,64.23,22801350656.0,1.74,0.991,Basic Materials,Chemicals,517.0,1,21
IIFL.BO,128289038336.0,24.44984,5.5284705,12.36,,60141699072.0,1.03,0.96,Financial Services,Credit Services,14829.0,6,28
IMFA.BO,33518985216.0,8.025449,,77.41,,26979799040.0,3.62,0.596,Basic Materials,Steel,2101.0,1,89
IMPAL.BO,10969919488.0,13.985681,,62.85,,7786100224.0,3.19,0.197,Consumer Cyclical,Auto Parts,872.0,3,10
INDBANK.BO,1334452480.0,15.035,,2.0,,282220992.0,,0.429,Financial Services,Capital Markets,92.0,6,20
INDHOTEL.BO,1019460583424.0,56.48265,208.19768,12.68,3.44,79937200128.0,0.24,0.436,Consumer Cyclical,Lodging,18359.0,3,54
INDIACEM.BO,78109286400.0,1.6644655,27.54645,151.43,9.15,43016073216.0,,-0.063,Basic Materials,Building Materials,1875.0,1,17
INDIAGLYCO.BO,32554467328.0,15.577036,14.391596,67.5,73.06,38311804928.0,0.76,0.543,Basic Materials,Chemicals,1326.0,1,21
INDIANB.BO,688229253120.0,6.5022907,11.04518,78.58,46.26,296568094720.0,2.35,1.071,Financial Services,Banks - Regional,40251.0,6,11
INDIANCARD.BO,1446068608.0,1.9066268,,127.66,,440822016.0,,0.374,Consumer Cyclical,Textile Manufacturing,235.0,3,91
INDIANHUME.BO,16981978112.0,16.471642,24.988373,19.57,,15034130432.0,0.47,1.217,Industrials,Engineering & Construction,1088.0,8,37
INDLMETER.BO,12372581.0,,,,,,,,Unknown,Unknown,,11,97
