,Security Id,Security Name,Group,Industry
2547,SYNGENE,Syngene International Ltd,A ,Pharmaceuticals
2548,PECOS,Pecos Hotels and Pubs Ltd,M ,Restaurants
2549,MSL,Mangalam Seeds Ltd,M ,Other Agricultural Products
2550,KAYA,Kaya Ltd,B ,Sp.Consumer Services
2551,SYMBIOX,Symbiox Investment &amp; Trading Company Ltd,XT,Other Financial Services
2553,AVI,AVI Polymers Ltd,XT,Specialty Chemicals
2556,ARVSMART,Arvind SmartSpaces Ltd,B ,Realty
2557,POWERMECH,Power Mech Projects Ltd,B ,Construction &amp; Engineering
2559,RAMASTEEL,Rama Steel Tubes Ltd,B ,Iron &amp; Steel Products
2562,UNIAUTO,Universal Autofoundry Ltd,M ,Auto Parts &amp; Equipment
2563,VETO,Veto Switchgears and Cables Ltd,B ,Other Elect.Equip./ Prod.
2564,NAVKARCORP,Navkar Corporation Ltd,A ,Transport Related Services
2566,SHREEPUSHK,Shree Pushkar Chemicals &amp; Fertilisers Ltd,B ,Specialty Chemicals
2569,HKT,H.K. Trade International Ltd,M ,Containers &amp; Packaging
2570,SADBHIN,Sadbhav Infrastructure Project Ltd,B ,Roads &amp; Highways
2573,POLYSPIN,Polyspin Exports Ltd,XT,Containers &amp; Packaging
2575,SML,Soni Medicare Ltd,XT,Healthcare Facilities
2576,KRISHNACAP,Krishna Capital and Securities Ltd,XT,Finance (including NBFCs)
2578,VISHALBL,Vishal Bearings Ltd,M ,Industrial Machinery
2579,BELLACASA,Bella Casa Fashion &amp; Retail Ltd,M ,Textiles
2580,PJL,Patdiam Jewellery Ltd,M ,Other Apparels &amp; Accessories
2583,SATIN,Satin Creditcare Network Ltd,B ,Finance (including NBFCs)
2584,DITCO,Decorous Investment &amp; Trading Co Ltd,XT,Other Apparels &amp; Accessories
2585,SWAGTAM,Swagtam Trading &amp; Services Ltd,XT,Comm.Trading  &amp; Distribution
2586,KUBERJI,Kuber Udyog Ltd,XT,Finance (including NBFCs)
